DATE,CLOSE
21-JAN-2020,57.95
20-JAN-2020,59.4
17-JAN-2020,58.75
16-JAN-2020,59.15
15-JAN-2020,62.4
14-JAN-2020,61.35
13-JAN-2020,55.95
10-JAN-2020,55.9
09-JAN-2020,54.85
08-JAN-2020,54.45
07-JAN-2020,55.95
06-JAN-2020,55.25
03-JAN-2020,58.4
02-JAN-2020,57.3
01-JAN-2020,56.0
31-DEC-2019,54.9
30-DEC-2019,51.8
27-DEC-2019,47.75
26-DEC-2019,43.8
24-DEC-2019,43.2
23-DEC-2019,43.8
20-DEC-2019,44.05
19-DEC-2019,42.85
18-DEC-2019,44.3
17-DEC-2019,41.9
16-DEC-2019,42.15
13-DEC-2019,40.1
12-DEC-2019,41.0
11-DEC-2019,41.95
10-DEC-2019,41.05
09-DEC-2019,43.0
06-DEC-2019,43.0
05-DEC-2019,43.5
04-DEC-2019,44.35
03-DEC-2019,44.75
02-DEC-2019,44.8
29-NOV-2019,45.0
28-NOV-2019,45.0
27-NOV-2019,44.3
26-NOV-2019,45.3
25-NOV-2019,46.5
22-NOV-2019,44.2
21-NOV-2019,43.7
20-NOV-2019,45.0
19-NOV-2019,47.0
18-NOV-2019,46.95
15-NOV-2019,48.2
14-NOV-2019,54.35
13-NOV-2019,52.05
11-NOV-2019,54.05
08-NOV-2019,54.7
07-NOV-2019,54.85
06-NOV-2019,55.0
05-NOV-2019,56.15
04-NOV-2019,57.0
01-NOV-2019,54.8
31-OCT-2019,54.9
30-OCT-2019,51.75
29-OCT-2019,51.75
27-OCT-2019,52.2
25-OCT-2019,50.25
24-OCT-2019,50.75
23-OCT-2019,51.55
22-OCT-2019,53.15
18-OCT-2019,52.15
17-OCT-2019,47.9
16-OCT-2019,48.45
15-OCT-2019,48.05
14-OCT-2019,50.4
11-OCT-2019,49.55
10-OCT-2019,49.4
09-OCT-2019,50.9
07-OCT-2019,52.7
04-OCT-2019,53.75
03-OCT-2019,54.4
01-OCT-2019,54.55
30-SEP-2019,57.15
27-SEP-2019,60.15
26-SEP-2019,60.3
25-SEP-2019,56.75
24-SEP-2019,58.6
23-SEP-2019,60.0
20-SEP-2019,59.0
19-SEP-2019,57.55
18-SEP-2019,59.35
17-SEP-2019,58.15
16-SEP-2019,58.7
13-SEP-2019,58.1
12-SEP-2019,58.5
11-SEP-2019,58.95
09-SEP-2019,55.7
06-SEP-2019,54.8
05-SEP-2019,55.1
04-SEP-2019,54.45
03-SEP-2019,56.0
30-AUG-2019,54.3
29-AUG-2019,50.25
28-AUG-2019,49.45
27-AUG-2019,49.85
26-AUG-2019,49.85
23-AUG-2019,50.65
22-AUG-2019,49.9
21-AUG-2019,53.0
20-AUG-2019,54.9
19-AUG-2019,55.0
16-AUG-2019,55.05
14-AUG-2019,57.05
13-AUG-2019,55.9
09-AUG-2019,55.55
08-AUG-2019,55.05
07-AUG-2019,54.4
06-AUG-2019,55.85
05-AUG-2019,54.65
02-AUG-2019,55.5
01-AUG-2019,58.55
31-JUL-2019,53.85
30-JUL-2019,57.6
29-JUL-2019,58.25
26-JUL-2019,58.8
25-JUL-2019,58.5
24-JUL-2019,58.15
23-JUL-2019,58.5
22-JUL-2019,58.9
19-JUL-2019,62.4
18-JUL-2019,63.05
17-JUL-2019,64.7
16-JUL-2019,63.1
15-JUL-2019,64.6
12-JUL-2019,64.8
11-JUL-2019,65.05
10-JUL-2019,64.05
09-JUL-2019,63.85
08-JUL-2019,63.3
05-JUL-2019,65.0
04-JUL-2019,65.05
03-JUL-2019,65.5
02-JUL-2019,65.25
01-JUL-2019,64.35
28-JUN-2019,64.3
27-JUN-2019,65.4
26-JUN-2019,64.5
25-JUN-2019,63.4
24-JUN-2019,64.5
21-JUN-2019,64.75
20-JUN-2019,64.1
19-JUN-2019,64.1
18-JUN-2019,65.15
17-JUN-2019,65.5
14-JUN-2019,67.0
13-JUN-2019,68.0
12-JUN-2019,68.8
11-JUN-2019,67.5
10-JUN-2019,67.55
07-JUN-2019,67.25
06-JUN-2019,67.1
04-JUN-2019,68.95
03-JUN-2019,67.8
31-MAY-2019,67.05
30-MAY-2019,69.6
29-MAY-2019,71.05
28-MAY-2019,70.75
27-MAY-2019,74.8
24-MAY-2019,63.8
23-MAY-2019,61.95
22-MAY-2019,60.1
21-MAY-2019,59.95
20-MAY-2019,60.45
17-MAY-2019,58.05
16-MAY-2019,59.5
15-MAY-2019,57.9
14-MAY-2019,54.65
13-MAY-2019,56.5
10-MAY-2019,59.7
09-MAY-2019,60.05
08-MAY-2019,61.9
07-MAY-2019,62.7
06-MAY-2019,62.35
03-MAY-2019,62.7
02-MAY-2019,63.0
30-APR-2019,63.5
26-APR-2019,64.35
25-APR-2019,64.7
24-APR-2019,64.6
23-APR-2019,64.6
22-APR-2019,64.65
18-APR-2019,65.55
16-APR-2019,65.5
15-APR-2019,65.6
12-APR-2019,64.5
11-APR-2019,64.9
10-APR-2019,64.85
09-APR-2019,65.1
08-APR-2019,65.05
05-APR-2019,65.1
04-APR-2019,64.9
03-APR-2019,65.3
02-APR-2019,65.85
01-APR-2019,66.4
29-MAR-2019,64.6
28-MAR-2019,64.55
27-MAR-2019,63.95
26-MAR-2019,64.1
25-MAR-2019,64.05
22-MAR-2019,65.7
20-MAR-2019,66.3
19-MAR-2019,66.4
18-MAR-2019,67.2
15-MAR-2019,68.15
14-MAR-2019,68.7
13-MAR-2019,69.75
12-MAR-2019,71.7
11-MAR-2019,70.35
08-MAR-2019,66.95
07-MAR-2019,66.5
06-MAR-2019,66.5
05-MAR-2019,67.15
01-MAR-2019,64.3
28-FEB-2019,62.8
27-FEB-2019,63.65
26-FEB-2019,65.05
25-FEB-2019,66.9
22-FEB-2019,65.55
21-FEB-2019,62.9
20-FEB-2019,63.1
19-FEB-2019,63.4
18-FEB-2019,63.0
15-FEB-2019,62.0
14-FEB-2019,62.85
13-FEB-2019,62.8
12-FEB-2019,63.7
11-FEB-2019,66.95
08-FEB-2019,67.65
07-FEB-2019,67.9
06-FEB-2019,67.0
05-FEB-2019,67.85
04-FEB-2019,69.2
01-FEB-2019,68.05
31-JAN-2019,69.05
30-JAN-2019,67.7
29-JAN-2019,67.2
28-JAN-2019,68.3
25-JAN-2019,69.95
24-JAN-2019,72.3
23-JAN-2019,71.8
22-JAN-2019,71.8
21-JAN-2019,72.05
18-JAN-2019,71.85
17-JAN-2019,73.35
16-JAN-2019,72.55
15-JAN-2019,73.3
14-JAN-2019,72.55
11-JAN-2019,74.8
10-JAN-2019,78.75
09-JAN-2019,71.0
08-JAN-2019,67.0
07-JAN-2019,66.8
04-JAN-2019,67.6
03-JAN-2019,66.85
02-JAN-2019,67.75
01-JAN-2019,68.95
31-DEC-2018,67.4
28-DEC-2018,65.95
27-DEC-2018,65.55
26-DEC-2018,64.7
24-DEC-2018,65.3
21-DEC-2018,66.3
20-DEC-2018,67.55
19-DEC-2018,66.85
18-DEC-2018,65.45
17-DEC-2018,65.3
14-DEC-2018,65.55
13-DEC-2018,66.05
12-DEC-2018,65.45
11-DEC-2018,64.75
10-DEC-2018,63.45
07-DEC-2018,65.6
06-DEC-2018,67.65
05-DEC-2018,67.55
04-DEC-2018,68.2
03-DEC-2018,67.8
30-NOV-2018,66.25
29-NOV-2018,66.7
28-NOV-2018,65.1
27-NOV-2018,64.35
26-NOV-2018,64.8
22-NOV-2018,67.75
21-NOV-2018,67.85
20-NOV-2018,66.8
19-NOV-2018,68.3
16-NOV-2018,69.0
15-NOV-2018,68.9
14-NOV-2018,69.75
13-NOV-2018,69.75
12-NOV-2018,70.3
09-NOV-2018,72.35
07-NOV-2018,72.6
06-NOV-2018,71.15
05-NOV-2018,72.35
02-NOV-2018,66.8
01-NOV-2018,63.45
31-OCT-2018,62.15
30-OCT-2018,61.9
29-OCT-2018,61.75
26-OCT-2018,60.25
25-OCT-2018,60.4
24-OCT-2018,61.05
23-OCT-2018,61.05
22-OCT-2018,63.95
19-OCT-2018,63.85
17-OCT-2018,64.1
16-OCT-2018,66.15
15-OCT-2018,64.2
12-OCT-2018,62.1
11-OCT-2018,61.5
10-OCT-2018,62.3
09-OCT-2018,60.7
08-OCT-2018,60.7
05-OCT-2018,62.5
04-OCT-2018,62.75
03-OCT-2018,63.9
01-OCT-2018,63.35
28-SEP-2018,63.15
27-SEP-2018,67.05
26-SEP-2018,67.7
25-SEP-2018,68.85
24-SEP-2018,69.4
21-SEP-2018,70.35
19-SEP-2018,75.9
18-SEP-2018,75.95
17-SEP-2018,78.1
14-SEP-2018,75.95
12-SEP-2018,73.9
11-SEP-2018,74.1
10-SEP-2018,75.2
07-SEP-2018,76.6
06-SEP-2018,74.6
05-SEP-2018,74.7
04-SEP-2018,74.4
03-SEP-2018,77.3
31-AUG-2018,78.85
30-AUG-2018,78.4
29-AUG-2018,74.7
28-AUG-2018,74.65
27-AUG-2018,75.35
24-AUG-2018,76.35
23-AUG-2018,75.95
21-AUG-2018,79.55
20-AUG-2018,82.05
17-AUG-2018,83.25
16-AUG-2018,75.7
14-AUG-2018,71.65
13-AUG-2018,67.95
10-AUG-2018,67.55
09-AUG-2018,68.4
08-AUG-2018,69.05
07-AUG-2018,71.15
06-AUG-2018,71.4
03-AUG-2018,71.3
02-AUG-2018,69.55
01-AUG-2018,70.4
31-JUL-2018,71.75
30-JUL-2018,71.5
27-JUL-2018,69.2
26-JUL-2018,69.65
25-JUL-2018,70.7
