DATE,CLOSE
21-JAN-2020,1754.7
20-JAN-2020,1761.2
17-JAN-2020,1804.65
16-JAN-2020,1715.1
15-JAN-2020,1669.55
14-JAN-2020,1676.55
13-JAN-2020,1671.5
10-JAN-2020,1670.05
09-JAN-2020,1693.4
08-JAN-2020,1667.0
07-JAN-2020,1681.0
06-JAN-2020,1686.2
03-JAN-2020,1730.45
02-JAN-2020,1684.9
01-JAN-2020,1670.0
31-DEC-2019,1650.5
30-DEC-2019,1682.9
27-DEC-2019,1666.4
26-DEC-2019,1667.1
24-DEC-2019,1638.45
23-DEC-2019,1602.6
20-DEC-2019,1628.25
19-DEC-2019,1608.9
18-DEC-2019,1618.4
17-DEC-2019,1635.2
16-DEC-2019,1602.55
13-DEC-2019,1622.7
12-DEC-2019,1625.55
11-DEC-2019,1612.0
10-DEC-2019,1635.7
09-DEC-2019,1667.75
06-DEC-2019,1710.55
05-DEC-2019,1719.8
04-DEC-2019,1719.5
03-DEC-2019,1750.2
02-DEC-2019,1750.35
29-NOV-2019,1763.55
28-NOV-2019,1778.5
27-NOV-2019,1768.6
26-NOV-2019,1760.8
25-NOV-2019,1785.2
22-NOV-2019,1772.65
21-NOV-2019,1789.35
20-NOV-2019,1811.6
19-NOV-2019,1774.8
18-NOV-2019,1720.55
15-NOV-2019,1738.0
14-NOV-2019,1737.95
13-NOV-2019,1776.95
11-NOV-2019,1810.25
08-NOV-2019,1840.3
07-NOV-2019,1860.6
06-NOV-2019,1876.95
05-NOV-2019,1872.75
04-NOV-2019,1871.25
01-NOV-2019,1889.2
31-OCT-2019,1871.25
30-OCT-2019,1849.85
29-OCT-2019,1839.65
27-OCT-2019,1792.75
25-OCT-2019,1763.3
24-OCT-2019,1788.9
23-OCT-2019,1799.6
22-OCT-2019,1839.2
18-OCT-2019,1839.7
17-OCT-2019,1811.5
16-OCT-2019,1823.35
15-OCT-2019,1757.45
14-OCT-2019,1748.65
11-OCT-2019,1742.55
10-OCT-2019,1737.0
09-OCT-2019,1759.0
07-OCT-2019,1763.05
04-OCT-2019,1722.7
03-OCT-2019,1718.4
01-OCT-2019,1779.7
30-SEP-2019,1806.25
27-SEP-2019,1903.45
26-SEP-2019,1985.85
25-SEP-2019,1979.05
24-SEP-2019,2012.0
23-SEP-2019,2011.95
20-SEP-2019,1823.2
19-SEP-2019,1751.55
18-SEP-2019,1793.55
17-SEP-2019,1820.05
16-SEP-2019,1824.55
13-SEP-2019,1835.55
12-SEP-2019,1834.7
11-SEP-2019,1846.45
09-SEP-2019,1750.1
06-SEP-2019,1754.45
05-SEP-2019,1752.65
04-SEP-2019,1700.55
03-SEP-2019,1715.45
30-AUG-2019,1795.15
29-AUG-2019,1771.7
28-AUG-2019,1752.0
27-AUG-2019,1751.7
26-AUG-2019,1693.55
